local ID (do not amend),rdfs:domain,rdfs:label@en,rdfs:range,skos:definition@en[0],skos:scopeNote@en[0],rdfs:subPropertyOf,owl:inverseOf,Old namespace,"category (s, n,a, r)",Mandatory (Y/N),Repeatable (Y/N),rdfs:comment@en[0]
1031,Manifestation,has manifestation statement of issue or iteration,,"Relates a manifestation to a manifestation statement that indicates that the manifestation embodies an issue, iteration, or unit of a diachronic work, and the names, functions, and other details of agents who are responsible for the creation of the diachronic work.","This element includes a statement of the title, identifiers, and responsibility of the diachronic work and designations of the issue, iteration, or unit.",1025,,,s,,,"Definition and terminology of 'series', 'multipart monograph', etc. need to be reviewed with respect to the LRM. Definition amended July 2021. Lable and definition amended and scope note added March 2022."""
1030,Manifestation,"has manifestation statement of publication, production, manufacture, or distribution",,"Relates a manifestation to a manifestation statement that includes dates and places of publication, production, manufacture, or distribution of the manifestation, and the names and functions of agents who are responsible for publication, production, manufacture, or distribution of the manifestation.","This element includes roles of agents who are involved in any aspect of the creation and distribution of a manifestation. Creation roles include printing and other forms of mechanical reproduction. Distribution roles include bookselling and other forms of product retail. This element includes statements of copyright, license, or privilege.",1025,,,s,,,"Label, definition, and scope note amended July 2021. Scope note amended February 2022. Definition amended and typo fix and amendment in scope note March 2022."""
1028,Manifestation,has manifestation statement of title and responsibility,,"Relates a manifestation to a manifestation statement that includes titles of the manifestation and the names, functions, and other details of agents who are responsible for the creation of works and expressions that are embodied in the manifestation.","This element includes titles proper and variant titles of the manifestation, and titles of works and expressions that are embodied in the manifestation.",1025,,,s,,,"Definition amended July 2021. Typo fix and amendment in definition and scope note added March 2022. Label amended from 'serial and multipart monograph' March 2022. Definition and scope note amended August 2022."""
1016,Manifestation,has manifestation that reproduces manifestation,Manifestation,Relates a manifestation to a manifestation that is created subsequently and which carries the content of the manifestation.,,1003,1015,,r,,,"Lable and definition amended July 2021. Definition amended June 2022."""
1020,Manifestation,has manufacturer agent,Agent,Relates a manifestation to an agent who is responsible for its manufacture.,,1019,,,r,,,"GD: Label amended for clarity. Definition and scope note amended July 2021. Scope note amended February 2022. Scope note removed March 2023."""
1252,Manifestation,has manufacturer collective agent,Collective Agent,Relates a manifestation to a collective agent who is responsible for its manufacture.,,1251,,,r,,,"GD: Label amended for clarity. Definition and scope note amended July 2021. Scope note amended February 2022. Scope note removed March 2023."""
1247,Manifestation,has manufacturer person,Person,Relates a manifestation to a person who is responsible for its manufacture.,,1246,,,r,,,"GD: Label amended for clarity. Definition and scope note amended July 2021. Scope note amended February 2022. Scope note removed March 2023."""
1256,Manifestation,has manufacturing process,,Relates a manifestation to a physical characteristic that is a method that is used to create the items that exemplify the manifestation.,,1242,,,a,,,"Hierarchy amended December 2021. Label amended March 2023. Hierarchy amended May 2023. Definition amended June 2023."""
1221,Manifestation,has material,,Relates a manifestation to a physical characteristic that is the kind of substance of which the manifestation is composed.,,1242,,isbd:P1056,a,,,"Definition amended July 2021 and February 2022. Hierarchy amended May 2023. Definition amended June 2023."""
1218,Manifestation,has media type,,"Relates a manifestation to a grouping that is based on the type of intermediation device required to render, view, run, etc., the content of a manifestation.",,1263,,isbd:P1003,a,,,"ISBD/ROF/RDA VES. Hierarchy amended February 2022. Definition amended April 2023."""
1232,Manifestation,has noise reduction,,Relates a manifestation to a physical characteristic that is the process that is used to remove noise from audio content that is embodied in the manifestation.,"This element applies to a manifestation that embodies performed music, sounds, or spoken word content in an analogue encoding.",1242,,isbd:P1135,a,,,"Definition amended and scope note added February 2022. Definition amended April 2023. Definition amended June 2023."""
1008,Manifestation,has nomen associated with manifestation,Nomen,Relates a manifestation to a nomen.,,,,,r,,,
1266,Manifestation,has note on agent associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about an agent who is related to the manifestation.,An agent includes a person or a collective agent.,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1219,Manifestation,has note on category of manifestation,,Relates a manifestation to a note on manifestation that provides information about specific categories to which the manifestation belongs.,,1207,,isbd:P1136,n,,,"Definition amended July 2021. Definition amended March 2022. Label amended August 2022."""
1265,Manifestation,has note on entity associated with manifestation,,Relates a manifestation to a note on manifestation that provides information about an entity that is related to the manifestation.,,1207,,,n,,,Element added August 2022.
1267,Manifestation,has note on expression associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about an expression that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1268,Manifestation,has note on item associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about an item that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1207,Manifestation,has note on manifestation,,Relates a manifestation to information about the manifestation.,,,,isbd:P1045,n,,,"LRM element. Definition amended July 2021. Definition amended March 2022."""
1269,Manifestation,has note on manifestation associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about a manifestation that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1200,Manifestation,has note on manifestation statement,,Relates a manifestation to a note on manifestation that provides information about a statement that is transcribed from the manifestation.,,1207,,,n,,,"Definition amended July 2021. Definition amended March 2022."""
1205,Manifestation,has note on manifestation statement of category,,Relates a manifestation to a note on manifestation statement that provides information about a statement of specific category that is transcribed from the manifestation.,,1200,,isbd:P1038,n,,,"Definition amended July 2021. Lable and definition amended March 2022. Definition amended May 2023. Label amended June 2023."""
1201,Manifestation,has note on manifestation statement of edition,,Relates a manifestation to a note on manifestation statement that provides information about a statement of edition that is transcribed from the manifestation.,,1200,,isbd:P1037,n,,,"Definition amended July 2021. Definition amended March 2022. Definition amended April 2023."""
1282,Manifestation,has note on manifestation statement of extent,,Relates a manifestation to a note on manifestation statement that provides information about a statement of extent that is transcribed from the manifestation.,,1200,,,n,N,Y,Element added April 2023.
1202,Manifestation,has note on manifestation statement of identifier and terms of availability,,Relates a manifestation to a note on manifestation statement that provides information about a statement of identifier and terms of availability that is transcribed from the manifestation.,,1200,,isbd:P1079,n,,,"Definition amended July 2021. Definition amended March 2022. Definition amended April 2023."""
1204,Manifestation,has note on manifestation statement of issue or iteration,,Relates a manifestation to a note on manifestation statement that provides information about a statement of issue or iteration that is transcribed from the manifestation.,,1200,,isbd:P1041,n,,,"Definition amended July 2021. Definition amended March 2022. Label amended from 'serial and multipart monograph' March 2022. Definition amended April 2023."""
1203,Manifestation,"has note on manifestation statement of publication, production, manufacture, or distribution",,"Relates a manifestation to a note on manifestation statement that provides information about a statement of publication, production,  manufacture, or distribution that is transcribed from the manifestation.",,1200,,isbd:P1039,n,,,"GD: Label amended for consistency. Definition amended July 2021.Definition amended March 2022. Definition amended April 2023."""
1206,Manifestation,has note on manifestation statement of title and responsibility,,Relates a manifestation to a note on manifestation statement that provides information about a statement of title and responsibility that is transcribed from the manifestation.,,1200,,,n,,,"Definition amended July 2021. Definition amended March 2022. Definition amended April 2023."""
1273,Manifestation,has note on nomen associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about a nomen that is related to the manifestation.,"A nomen includes a title, access point, or identifier.",1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1284,Manifestation,has note on physical characteristic,,Relates a manifestation to a note on manifestation that provides information about a material or structural aspect of the manifestation.,,1207,,,n,N,Y,"Element added May 2023. Label and definition amended June 2023."""
1271,Manifestation,has note on place associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about a place that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1272,Manifestation,has note on time-span associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about a time-span that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1270,Manifestation,has note on work associated with manifestation,,Relates a manifestation to a note on entity associated with manifestation that provides information about a work that is related to the manifestation.,,1265,,,n,,,"Element added August 2022. Definition amended May 2023."""
1228,Manifestation,has number of recording tracks,,"Relates a manifestation to an extent of unit that is the number of distinct parallel streams of a single expression of performed music, sounds, or spoken word content that can be embodied in the unit.","This element applies to a manifestation that is an audio belt, audio cartridge, audio cylinder, audio disc, audio roll, audiocassette, or audio tape reel.",1276,,isbd:P1131,a,,,"Scope note added February 2022. Label, definition, and scope note amended October 2022. Definition and subproperty amended April 2023."""
1230,Manifestation,has number of sound channels,,Relates a manifestation to an extent of embodied content that is the number of distinct parallel streams that embody a single expression of audio content.,"This element applies to a manifestation that embodies performed music, sounds, or spoken word content.",1277,,isbd:P1133,a,,,"Scope note added February 2022. Definition amended October 2022. definition and subproperty amended April 2023."""
1117,Manifestation,has numeric designation,,Relates a manifestation to an identifier that includes numbers or alphabetic characters to indicate a position in a sequence of units of a multiple unit manifestation or of iterations of a diachronic work.,This element applies to a manifestation that embodies the expression of a diachronic work or an expression of an issue or iteration of a diachronic work.,1111,,isbd:P1156,r,,,Definition amended February 2023.
1006,Manifestation,has person associated with manifestation,Person,Relates a manifestation to a person.,,1005,,,r,,,
1242,Manifestation,has physical characteristic,,Relates a manifestation to a material or structural aspect of the manifestation.,,,,isbd:P1023,a,,,"Typo fixed in definition December 2021. Hierarchy amended May 2023. Label and definition amended June 2023."""
1009,Manifestation,has place associated with manifestation,Place,Relates a manifestation to a place.,,,,,r,,,
1236,Manifestation,has place of creation of manifestation,Place,"Relates a manifestation to a place in which the manifestation is manufactured, produced, or published.",,1009,,,r,,,Definition amended July 2021.
1211,Manifestation,has place of distribution,Place,Relates a manifestation to a place in which the manifestation is distributed.,This element includes distribution by bookselling.,1009,,,r,,,"Definition and scope note amended July 2021. Scope note amended February 2022."""
1214,Manifestation,has place of manufacture,Place,Relates a manifestation to a place in which the manifestation is manufactured.,This element includes manufacture by printing.,1236,,isbd:P1019,r,,,"GD: Label amended for clarity. Definition and scope note amended July 2021. Scope note amended February 2022."""
1212,Manifestation,has place of production,Place,Relates a manifestation to a place in which the manifestation is produced.,,1236,,,r,,,Definition amended July 2021.
1213,Manifestation,has place of publication,Place,Relates a manifestation to a place in which the manifestation is published.,,1236,,,r,,,Definition amended July 2021.
1259,Manifestation,has plate number,Nomen,Relates a manifestation to an identifier that is assigned by the publisher of the manifestation to the printing plates used in its manufacture.,This element applies to a manifestation that embodies notated music content.,1111,,,r,,,"From stipulations 8.1.2. Definition and scope notes added March 2022. Definition amended February 2023."""
1224,Manifestation,has playing speed,,Relates a manifestation to a physical characteristic that is the rate of movement of the carrier that is required to access dynamic content.,"This element applies to a manifestation that embodies cartographic moving image, performed music, sounds, spoken word, three-dimensional moving image, two-dimensional moving image, and performed music content.",1242,,isbd:P1127,a,,,"Scope note added February 2022. Definition, scope note, and subproperty amended April 2023. Definition and subproperty amended June 2023."""
1287,Manifestation,has playing time,,Relates a manifestation to an extent of embodied content that is the duration of dynamic content.,"This element applies to a manifestation that embodies cartographic moving image, performed music, sounds, spoken word, three-dimensional moving image, two-dimensional moving image, or performed music content.",1277,,,a,N,Y,Element added June 2023.
1216,Manifestation,has producer agent,Agent,Relates a manifestation to an agent who is responsible for its production.,,1019,,,r,,,Definition amended July 2021.
1253,Manifestation,has producer collective agent,Collective Agent,Relates a manifestation to a collective agent who is responsible for its production.,,1251,,,r,,,Definition amended July 2021.
1248,Manifestation,has producer person,Person,Relates a manifestation to a person who is responsible for its production.,,1246,,,r,,,Definition amended July 2021.
1217,Manifestation,has publisher agent,Agent,Relates a manifestation to an agent who is responsible for its publication.,,1019,,,r,,,Definition amended July 2021.
1254,Manifestation,has publisher collective agent,Collective Agent,Relates a manifestation to a collective agent who is responsible for its publication.,,1251,,,r,,,Definition amended July 2021.
1260,Manifestation,has publisher number,Nomen,Relates a manifestation to a catalogue number that is assigned by the publisher of the manifestation to identify notated music in product catalogues and lists.,This element applies to a manifestation that embodies notated music content.,1261,,,r,,,"From stipulations 8.1.2 Definition and scope note added March 2022. Definition amended February 2023."""
1249,Manifestation,has publisher person,Person,Relates a manifestation to a person who is responsible for its publication.,,1246,,,r,,,Definition amended July 2021.
1225,Manifestation,has recording method,,Relates a manifestation to a physical characteristic that is the method that is used to record content that is embodied in the manifestation.,This element applies to a manifestation that is an audio disc that uses an analogue encoding.,1242,,isbd:P1128,a,,,"Definition amended and scope note added February 2022. Definition amended June 2023."""
1243,Manifestation,has reduction ratio,,Relates a manifestation to an extent of embodied content that is the magnification factor that is required to view the content.,"This element applies to a manifestation that embodies cartographic image, notated movement, notated music, still image, and text content.",1277,,isbd:P1061,a,,,"Definition amended and scope note added October 2022. Scope note amended April 2023."""
1283,Manifestation,has regional encoding,,Relates a manifestation to a physical characteristic that is a designation that indicates that content that is embodied in the manifestation is encoded to restrict access to one or more regions of the world.,This element applies to a manifestation that is a videodisc.,1242,,,a,N,Y,"Element added May 2023. Definition amended June 2023."""
1013,Manifestation,has sub-unit,Manifestation,Relates a manifestation to a manifestation that is a physical or logical part of the manifestation.,,1003,1014,,r,N,Y,"Definition amended July 2021. Definition amended August 2022. Label and definition amended October 2022."""
1014,Manifestation,has super-unit,Manifestation,Relates a manifestation to a manifestation that is the physical or logical whole of the manifestation.,,1003,1013,,r,,,"Label and definition amended July 2021. Definition amended August 2022. Label and definition amended October 2022."""
1238,Manifestation,has terms of availability,,Relates a manifestation to a statement of how an exemplar of the manifestation may be obtained.,"This element includes limitations on the number of exemplars, the cost, or an indication that there is no cost, of purchasing or borrowing an exemplar, and the categories of agent to whom the terms apply.",1027,,isbd:P1034,a,,,"Definition amended February 2022, with added scope note. Definition amended February 2023."""
1010,Manifestation,has time-span associated with manifestation,Time-span,Relates a manifestation to a time-span.,,,,,r,,,
1037,Manifestation,has title of manifestation,Nomen,Relates a manifestation to a nomen of the manifestation that is an uncontrolled label.,"This element includes a title proper, a variant title, a collective title, a common title, a compound title, and a title of a sub-unit.",1274,,isbd:P1012,r,N,Y,"Definition amended July 2021. Scope note added March 2022. Scope note amended August 2022. Definition amended March 2023."""
1038,Manifestation,has title proper,,Relates a manifestation to a nomen that is a title of the manifestation that is selected for preference.,,1037,,isbd:P1004,r,N,Y,Definition amended July 2021.
1229,Manifestation,has track configuration,,Relates a manifestation to a physical characteristic that is the configuration of its tracks.,This element applies to a manifestation that is an audio tape reel or audiocassette.,1242,,isbd:P1132,a,N,Y,"Definition amended and scope note added February 2022. Definition amended June 2023.."""
1286,Manifestation,has uniform resource locator,Nomen,Relates a manifestation to an online address of the manifestation.,This element applies to a manifestation that is an online resource.,1111,,,a,N,N,Element added June 2023.
1262,Manifestation,has unitary structure,,Relates a manifestation to a physical characteristic that is an indication of its composition in one or more than one physical or logical parts.,,1242,,,a,,,"Basic manifestation characteristic. Definition amended March 2023. Hierarchy amended May 2023. Definition amended June 2023."""
1027,Manifestation,has use rights,,Relates a manifestation to restrictions on access and usage that apply to all exemplars of the manifestation.,,,,,a,,,Definition amended February 2022.
1258,Manifestation,has variant access point of manifestation,Nomen,Relates a manifestation to a nomen that is an access point of the manifestation that is not selected for preference in an authority file.,,1234,,,r,,,Definition amended July 2021.
1245,Manifestation,has variant title of manifestation,Nomen,Relates a manifestation to a nomen that is a title of the manifestation that is not selected for preference.,,1037,,,r,,,Definition amended July 2021.
1001,Manifestation,has work associated with manifestation,Work,Relates a manifestation to a work.,,,,,r,,,
1220,Manifestation,has work embodied in manifestation,Work,Relates a manifestation to a work that is carried by the manifestation.,,1001,,,r,,,"Primary WEMI relationship element. Shortcut (ignores Expression). Definition amended July 2021. Label amended August 2022."""
